"record_code","tag_code_or_release_id","brood_year","hatchery_location_name","cwt_1st_mark_count","cwt_2nd_mark_count","non_cwt_1st_mark_count","non_cwt_2nd_mark_count","Total_Released","Phi"
"T","65460",2000,"NIMBUS FISH HATCHERY",96371,0,1086133,2805,1185309,0.0813045374666015
"T","60575",2013,"NIMBUS FISH HATCHERY",35093,0,83,105352,140528,0.249722475236252
"T","60579",2013,"NIMBUS FISH HATCHERY",280082,0,660,842194,1122936,0.249419379198815
"T","60580",2013,"NIMBUS FISH HATCHERY",279616,0,838335,0,1117951,0.250114718802524
"T","60581",2013,"NIMBUS FISH HATCHERY",301628,0,320,904202,1206150,0.250075032127016
"T","65451",1983,"NIMBUS FISH HATCHERY",50114,0,558,0,50672,0.988988001263025
"T","65407",1986,"NIMBUS FISH HATCHERY",51891,0,524,0,52415,0.990002861776209
"T","65405",1985,"NIMBUS FISH HATCHERY",48920,0,5800,0,54720,0.894005847953216
"T","65449",1982,"NIMBUS FISH HATCHERY",47350,0,2650,0,50000,0.947
"T","65453",1984,"NIMBUS FISH HATCHERY",24276,0,1224,0,25500,0.952
"T","65450",1983,"NIMBUS FISH HATCHERY",49513,0,1062,0,50575,0.97900148294612
"T","65454",1984,"NIMBUS FISH HATCHERY",25103,0,697,0,25800,0.972984496124031
"T","65447",1982,"NIMBUS FISH HATCHERY",47320,0,2543,0,49863,0.949000260714357
"T","60748",2015,"NIMBUS FISH HATCHERY",177075,0,532283,0,709358,0.249627127628081
"T","60749",2015,"NIMBUS FISH HATCHERY",173167,0,519751,0,692918,0.249909801737002
"T","60750",2015,"NIMBUS FISH HATCHERY",173467,0,520635,0,694102,0.249915718439077
"T","60751",2015,"NIMBUS FISH HATCHERY",172272,0,517032,0,689304,0.249921660109328
"T","60752",2015,"NIMBUS FISH HATCHERY",173356,0,520432,0,693788,0.249868836013307
"T","60753",2015,"NIMBUS FISH HATCHERY",171941,0,516092,0,688033,0.249902257595203
"T","65452",1983,"NIMBUS FISH HATCHERY",48677,0,1923,0,50600,0.96199604743083
"T","65415",1988,"NIMBUS FISH HATCHERY",48207,0,237793,3417,289417,0.16656588935688
"T","65414",1988,"NIMBUS FISH HATCHERY",49848,0,218122,2243,270213,0.18447669061074
"T","65421",1989,"NIMBUS FISH HATCHERY",47663,0,273837,3181,324681,0.146799473945195
"T","65412",1988,"NIMBUS FISH HATCHERY",49400,0,279800,3381,332581,0.148535244045811
"T","65411",1987,"NIMBUS FISH HATCHERY",36325,0,209416,10973,256714,0.141499879243049
"T","65413",1988,"NIMBUS FISH HATCHERY",41125,0,188875,9992,239992,0.171359878662622
"T","65418",1989,"NIMBUS FISH HATCHERY",45384,0,229816,4902,280102,0.162026690277113
"T","65419",1989,"NIMBUS FISH HATCHERY",46156,0,244594,4616,295366,0.156267139752036
"T","65408",1986,"NIMBUS FISH HATCHERY",46516,0,5169,0,51685,0.89999032601335
"T","65410",1987,"NIMBUS FISH HATCHERY",43344,0,293162,8822,345328,0.125515451976092
"T","65420",1989,"NIMBUS FISH HATCHERY",46263,0,308937,3877,359077,0.128838661345617
"T","65406",1985,"NIMBUS FISH HATCHERY",53072,0,67200,3328,123600,0.429385113268608
"T","65409",1987,"NIMBUS FISH HATCHERY",46829,0,292929,5007,344765,0.135828752918655
"T","60663",2014,"NIMBUS FISH HATCHERY",163471,0,490875,0,654346,0.249823487879501
"T","60666",2014,"NIMBUS FISH HATCHERY",167082,370,501263,0,668715,0.249855319530742
"N","!08NBFH05001",2004,"NIMBUS FISH HATCHERY",0,0,91300,0,91300,0
"N","!08NBFH05002",2004,"NIMBUS FISH HATCHERY",0,0,136000,0,136000,0
"N","!08NBFH05003",2004,"NIMBUS FISH HATCHERY",0,0,154100,0,154100,0
"N","!08NBFH05004",2004,"NIMBUS FISH HATCHERY",0,0,290400,0,290400,0
"N","!08NBFH05005",2004,"NIMBUS FISH HATCHERY",0,0,289800,0,289800,0
"N","!08NBFH05006",2004,"NIMBUS FISH HATCHERY",0,0,142600,0,142600,0
"N","!08NBFH05007",2004,"NIMBUS FISH HATCHERY",0,0,152500,0,152500,0
"N","!08NBFH05008",2004,"NIMBUS FISH HATCHERY",0,0,1854000,0,1854000,0
"N","!08NBFH05009",2004,"NIMBUS FISH HATCHERY",0,0,253700,0,253700,0
"N","!08NBFH05010",2004,"NIMBUS FISH HATCHERY",0,0,400200,0,400200,0
"N","!08NBFH05011",2004,"NIMBUS FISH HATCHERY",0,0,524400,0,524400,0
"N","!08NBFH05012",2004,"NIMBUS FISH HATCHERY",0,0,143000,0,143000,0
"N","!08NBFH05013",2004,"NIMBUS FISH HATCHERY",0,0,138000,0,138000,0
"T","67008",2006,"NIMBUS FISH HATCHERY",401213,1353,1208429,0,1610995,0.24904670715924
"T","67009",2006,"NIMBUS FISH HATCHERY",394440,455,1185324,0,1580219,0.249610971643804
"T","67010",2006,"NIMBUS FISH HATCHERY",400691,449,1208190,1348,1610678,0.248771635298924
"T","67021",2006,"NIMBUS FISH HATCHERY",49755,94,149808,50,199707,0.249139990085475
"T","67001",2007,"NIMBUS FISH HATCHERY",312228,0,1105,940460,1253793,0.249026753220029
"T","68602",2007,"NIMBUS FISH HATCHERY",444826,0,1335029,0,1779855,0.249922606054988
"T","68603",2007,"NIMBUS FISH HATCHERY",461701,0,3303,1395855,1860859,0.248111759139193
"T","68640",2008,"NIMBUS FISH HATCHERY",264006,2997,2997,0,270000,0.9778
"T","68623",2008,"NIMBUS FISH HATCHERY",35062,20,121,105907,141110,0.248472822620651
"T","68638",2008,"NIMBUS FISH HATCHERY",400048,0,1201089,0,1601137,0.249852448603711
"T","68651",2008,"NIMBUS FISH HATCHERY",140649,0,1240,428423,570312,0.246617640870261
"T","68637",2008,"NIMBUS FISH HATCHERY",401196,427,1285,1209420,1612328,0.248830262824934
"T","68680",2009,"NIMBUS FISH HATCHERY",279383,0,838649,0,1118032,0.24988819640225
"N","!08NIM03-01",2002,"NIMBUS FISH HATCHERY",0,0,2864700,0,2864700,0
"N","!08NIM03-02",2002,"NIMBUS FISH HATCHERY",0,0,994300,0,994300,0
"N","!08NIM03-03",2002,"NIMBUS FISH HATCHERY",0,0,502300,0,502300,0
"N","!08NIM06-01",2005,"NIMBUS FISH HATCHERY",0,0,1441200,0,1441200,0
"N","!08NIM06-02",2005,"NIMBUS FISH HATCHERY",0,0,1561400,0,1561400,0
"T","68677",2009,"NIMBUS FISH HATCHERY",389432,0,494,1182114,1572040,0.247723976489148
"T","68678",2009,"NIMBUS FISH HATCHERY",343111,0,412,1031060,1374583,0.24961097292779
"T","68658",2009,"NIMBUS FISH HATCHERY",68144,0,253,205203,273600,0.24906432748538
"T","68679",2009,"NIMBUS FISH HATCHERY",268016,0,2274,4224,274514,0.976329076112694
"T","68767",2010,"NIMBUS FISH HATCHERY",366781,0,1100844,0,1467625,0.249914658035942
"T","68768",2010,"NIMBUS FISH HATCHERY",378804,1332,1140936,0,1521072,0.249037520906308
"T","68771",2010,"NIMBUS FISH HATCHERY",132125,0,517995,0,650120,0.203231711068726
"T","60396",2011,"NIMBUS FISH HATCHERY",131335,0,394268,0,525603,0.249874905584633
"T","60424",2011,"NIMBUS FISH HATCHERY",401994,0,1206787,0,1608781,0.24987490528543
"T","60425",2011,"NIMBUS FISH HATCHERY",275408,0,0,0,275408,1
"T","60426",2011,"NIMBUS FISH HATCHERY",196738,0,590589,0,787327,0.249880926222523
"T","60423",2011,"NIMBUS FISH HATCHERY",400789,0,925,1206210,1607924,0.249258671429744
"T","60372",2012,"NIMBUS FISH HATCHERY",182413,205,1025,551263,734906,0.248212696589768
"T","61209",2021,"NIMBUS FISH HATCHERY",11026,0,73,33298,44397,0.248350113746424
"T","62965",2021,"NIMBUS FISH HATCHERY",165665,366,183,499433,665647,0.248878159144411
"T","62966",2021,"NIMBUS FISH HATCHERY",168694,0,950,509254,678898,0.248482098930915
"T","62968",2021,"NIMBUS FISH HATCHERY",208383,707,235,628762,838087,0.248641250848659
"T","62969",2021,"NIMBUS FISH HATCHERY",209932,0,630548,0,840480,0.249776318294308
"T","62967",2021,"NIMBUS FISH HATCHERY",166889,0,501167,0,668056,0.249812889937371
"T","62970",2021,"NIMBUS FISH HATCHERY",220172,0,1463,665203,886838,0.248266312449399
"T","68208",2021,"NIMBUS FISH HATCHERY",5310,0,30,16019,21359,0.248607144529238
"T","68665",2021,"NIMBUS FISH HATCHERY",5631,19,6,16967,22623,0.248905980639173
"T","62052",2019,"NIMBUS FISH HATCHERY",199963,0,217,602043,802223,0.249261115674819
"T","62057",2019,"NIMBUS FISH HATCHERY",199880,0,601,0,200481,0.997002209685706
"T","60728",2019,"NIMBUS FISH HATCHERY",12410,14,37356,0,49780,0.249296906388108
"T","60992",2019,"NIMBUS FISH HATCHERY",11431,0,34347,0,45778,0.249705098518939
"T","62051",2019,"NIMBUS FISH HATCHERY",199499,0,444,600684,800627,0.249178456384808
"T","62053",2019,"NIMBUS FISH HATCHERY",197125,0,647,593851,791623,0.249013735073387
"T","62054",2019,"NIMBUS FISH HATCHERY",144708,161,435267,0,580136,0.249438062799068
"T","62055",2019,"NIMBUS FISH HATCHERY",143163,162,1937,436230,581492,0.246199431806456
"T","62056",2019,"NIMBUS FISH HATCHERY",141459,0,424767,0,566226,0.249827807271302
