"brood_year","hatchery_location_name","tag_code","Total_Released","Phi"
2014,"COLEMAN NFH","55808",410494,0.247260617694778
2014,"COLEMAN NFH","55781",413698,0.249858592499843
2014,"COLEMAN NFH","55782",413770,0.249914203543031
2014,"COLEMAN NFH","55783",445156,0.249818041315853
2014,"COLEMAN NFH","55784",420772,0.249847898624433
2014,"COLEMAN NFH","55785",444778,0.249814514207088
2014,"COLEMAN NFH","55786",347316,0.249815729767704
2014,"COLEMAN NFH","55787",459104,0.249174478985154
2014,"COLEMAN NFH","55788",387224,0.249155527549945
2019,"COLEMAN NFH","56411",423356,0.248547321875679
2019,"COLEMAN NFH","56418",427392,0.248561039982031
2019,"COLEMAN NFH","56401",455265,0.245898542607053
2019,"COLEMAN NFH","56402",436540,0.249092866633069
2019,"COLEMAN NFH","56403",436059,0.249729967733724
2019,"COLEMAN NFH","56404",468013,0.248961033133695
2019,"COLEMAN NFH","56405",432727,0.249695535522396
2019,"COLEMAN NFH","56406",450370,0.248144858671759
2019,"COLEMAN NFH","56407",459922,0.247289757828501
2019,"COLEMAN NFH","56408",258145,0.248480505142459
2019,"COLEMAN NFH","56409",466273,0.249085835980209
2019,"COLEMAN NFH","56410",381272,0.248984976604629
2019,"COLEMAN NFH","56412",387076,0.249100951751077
2019,"COLEMAN NFH","56413",469818,0.245569560978932
2019,"COLEMAN NFH","56419",466196,0.246750293867815
2019,"COLEMAN NFH","56420",361280,0.24652624003543
2019,"COLEMAN NFH","56421",478707,0.249227606865995
2019,"COLEMAN NFH","56422",372086,0.249025762861274
2019,"COLEMAN NFH","56423",485185,0.249216278326824
2019,"COLEMAN NFH","56424",403070,0.248458084203736
2019,"COLEMAN NFH","56426",456792,0.247340146062103
2019,"COLEMAN NFH","56425",412867,0.244112510808565
2019,"COLEMAN NFH","56427",451105,0.248576273816517
2019,"COLEMAN NFH","56428",445427,0.249165407575203
2019,"COLEMAN NFH","56429",92261,0.984999078700643
2019,"COLEMAN NFH","56430",93597,0.994999839738453
2019,"COLEMAN NFH","56431",95812,0.99500062622636
2019,"COLEMAN NFH","56432",93824,0.985003836971351
2019,"COLEMAN NFH","55450",33960,0.249204946996466
2019,"COLEMAN NFH","56415",393713,0.248287458123049
2019,"COLEMAN NFH","56416",450416,0.246421086284679
2019,"COLEMAN NFH","56417",418417,0.247862778042001
2019,"COLEMAN NFH","56414",436001,0.247703560312935
2008,"COLEMAN NFH","54894",459743,0.249937465062002
2008,"COLEMAN NFH","54895",497110,0.24990042445334
2008,"COLEMAN NFH","54896",451534,0.249274694707375
2008,"COLEMAN NFH","54897",503002,0.249905566975877
2008,"COLEMAN NFH","54898",450191,0.249294188466673
2008,"COLEMAN NFH","54899",448669,0.249268391620549
2008,"COLEMAN NFH","54891",469789,0.249865365089434
2016,"COLEMAN NFH","56058",388653,0.246777974182626
2016,"COLEMAN NFH","56060",409389,0.247073077195528
2016,"COLEMAN NFH","56063",415399,0.248423804583064
2016,"COLEMAN NFH","56064",475852,0.249071139766146
2016,"COLEMAN NFH","56068",444123,0.247969594008867
2016,"COLEMAN NFH","56072",433336,0.249210774087544
2016,"COLEMAN NFH","56073",433988,0.248585214337724
2016,"COLEMAN NFH","56077",465684,0.249248417381744
2016,"COLEMAN NFH","56079",451010,0.249222855369061
2016,"COLEMAN NFH","56080",403604,0.249083259828941
2016,"COLEMAN NFH","56081",463711,0.248628995214692
2016,"COLEMAN NFH","56082",393170,0.246666836228603
2016,"COLEMAN NFH","56065",452414,0.249234108581963
2016,"COLEMAN NFH","56066",401631,0.249901028556063
2016,"COLEMAN NFH","56083",444593,0.246119484562285
2016,"COLEMAN NFH","56075",451860,0.247975036515735
2016,"COLEMAN NFH","56084",483217,0.249229642169046
2016,"COLEMAN NFH","56085",447568,0.249224698816716
2015,"COLEMAN NFH","55959",493967,0.248858729429294
2015,"COLEMAN NFH","55956",457610,0.249712637398658
2015,"COLEMAN NFH","55957",382933,0.249424834109361
2015,"COLEMAN NFH","55962",373799,0.249915061303
2001,"COLEMAN NFH","50883",440656,0.176391561671689
2001,"COLEMAN NFH","501040304",50216,0.990003186235463
2001,"COLEMAN NFH","501040202",432673,0.164664769930178
2007,"COLEMAN NFH","54392",367735,0.249413300338559
2007,"COLEMAN NFH","54393",436087,0.249768968118747
