"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
1995,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0.957715149793966,0.979601127164247,0.991865682008017,0,0,0.00861412927146197
1997,0,0,0,0.444583064652589,0.502861177550932,0.545798815071978,0.656434899661368,0.87540015951677,0.980866081254532,0,0.0252957966050727,0.0877585374169086
1998,0.00557040276606187,0.00787119116609203,0.0118200959210257,0.180844276889176,0.220316897517724,0.269602198859772,0.991111354239906,0.995443115940285,0.997184541346349,0.00161606150056814,0.0234477231781434,0.00154472075255611
1999,0.0148680493446769,0.0185938078510229,0.0273884996209831,0.438993473985607,0.484757823128431,0.529399839957178,0.988628569548179,0.991327867777466,0.993131365583589,0.00331690665837457,0.02341952822302,0.0011522028964729
2000,0.0651343544131744,0.090094053479198,0.120227329392164,0.661682695923937,0.701085599644127,0.737440712153031,0.95078303789769,0.963105874827625,0.972276428758439,0.0142032749273545,0.0193105535704288,0.00563162896509444
2001,0.0705731066089519,0.08749462776024,0.113801456206924,0.676352796433549,0.689619121262961,0.702334806716565,0.980805052698404,0.986455363398712,0.988468533178525,0.0110730043386133,0.00658433577407004,0.0023145243608572
2002,0.0292953097341272,0.0322230669021373,0.0349814245237953,0.849068020014517,0.878697714500208,0.901609457043698,1,1,1,0.00150967219790743,0.0133053051123254,0
2003,0.0119573616855468,0.0150248912240914,0.0199759791658503,0.439294197481994,0.541334236624782,0.613386204005226,1,1,1,0.0020832706619175,0.0456233754961403,0
2004,0.0353892396171399,0.0863326329712728,0.143882485356087,0.931560102535086,0.967499752004721,0.992395389095679,1,1,1,0.0282679440262524,0.0172450868925753,0
2005,0.0100728337123505,0.0182522096563582,0.0254490858577082,0.881735652826236,0.915725873627935,0.953917651189642,1,1,1,0.00399286514373709,0.0187401105996691,0
2006,0.0613042065055833,0.0638909063736519,0.0662535213618708,0.858216639930277,0.883760876659785,0.898762593509743,0.95936979661155,0.964814876940683,0.972793313229981,0.00116984798161693,0.0113872541668944,0.00376543317424006
2007,0.0301774126470841,0.0335062796932,0.036536943759425,0.456078773687372,0.47451171954546,0.493167371282745,1,1,1,0.00155028750336263,0.00943251810977326,0
2008,0.108864938556138,0.11425890991791,0.123076283458017,0.945222077325539,0.952683349264496,0.959220023935408,0.954264385218077,0.987436814791851,0.997795745136626,0.00356983228631482,0.00357501845325422,0.011608340448391
2009,0.265448514262416,0.270973634661593,0.281273498682035,0.753611394482551,0.771905266399087,0.79993956830716,0.997116199476458,0.998817581427504,0.999444676385779,0.00402714135771739,0.0116621101875032,0.000657833888364644
2010,0.0314328522754384,0.0370201761736715,0.0497107444949366,0.575220673109316,0.599757201101261,0.638821190286766,0.947947353157166,0.965431610033147,0.976956672405632,0.0047907241697705,0.0167382048267111,0.00752673551780719
2011,0.0270957910338963,0.0325886304334238,0.0429697470831874,0.4138725420871,0.459539861246128,0.527783800292357,0.96443421013838,0.9784982045951,0.987882444702587,0.00410278902018099,0.0292987574105244,0.00605958451399809
2012,0.0321859657222595,0.0408520019654175,0.0484131136181373,0.544283963404104,0.570653556343016,0.59491198864171,0.966554230510944,0.988503024302105,0.996338509861229,0.00394833677266667,0.0131705883575543,0.00830890298315002
2013,0.0772071022695849,0.0894080985282157,0.104765461767771,0.825575689250375,0.8538076616547,0.883310380213334,0.929070784558721,0.964036996085084,0.98176569092164,0.00696856612904719,0.0146653097604406,0.0131351317780824
2014,0.1479282725521,0.178023268431414,0.229825285551619,0.963875522952431,0.976068313417254,0.987267107898649,0.210450145752897,0.482857374083086,0.75950930559944,0.0212006121774801,0.00594802149864932,0.152951887723749
2015,0.195919329471891,0.235667336084895,0.316427932957106,0.896712095679797,0.916370028590849,0.934489281012992,0.841183820909623,0.947478147970472,0.986358263283667,0.0322932666278412,0.0101060458720179,0.0404596801085883
2016,0.0413331085137364,0.0483954468736661,0.0624175920292306,0.434130287129484,0.476352263188977,0.546196510113412,0.902659419904328,0.94977296551296,0.977649133175324,0.00548364077588115,0.0293476054863549,0.019168060903587
2017,0.0387897473098844,0.0490053000527374,0.0666979291993477,0.664181151408366,0.718808080457167,0.765594017576215,0.877861218821044,0.966010131965452,0.996899212500552,0.0072588453594084,0.0269233815515352,0.0322832794051744
2018,0.0201175206539272,0.0225134280202189,0.0259577874446009,0.812752139927918,0.850481341183806,0.887649057030164,1,1,1,0.00146970915391932,0.0194898736628131,0
2019,0.0268726002521369,0.129948120946425,0.232040715052685,1,1,1,0,0,0,0.059534874431439,0,0
2020,0.966867814981589,0.976819884820002,0.985083227518311,1,1,1,0,0,0,0.00477253368639277,0,0
