"brood_year","Age1Hat","Age2Hat","Age3Hat","Age4Hat","Age5Hat"
1995,0,0,0,0,215.875681501666
1996,0,0,0,3708.86764294875,1.10503694492934
1997,0,0,19649.8097773409,5113.68640980994,68.7474065715843
1998,0,1051.11807872272,10069.6271432923,5952.07083508708,95.5049250598436
1999,10.3994119033066,5360.55631778362,36659.6738630607,37294.2234891871,381.572745541826
2000,0,7311.08550504772,33381.3636482927,8611.59829098201,175.414401817914
2001,0,6185.93043552207,23033.7376909071,4832.15898456363,47.8936773433342
2002,0,5251.22164854904,28338.3126108499,3491.83396211447,0
2003,0,1121.35487415915,15113.6552900952,5335.18683104981,36.6091587563598
2004,0,772.652891910676,2011.54183979189,221.880168533852,0
2005,0,148.148476086415,5524.99969183271,1242.53356604068,6.72889670624746
2006,0,791.141623708525,8553.01961784051,818.373121399485,15.6793599389012
2007,4.00836800916205,5357.80570053237,21569.7061634616,7443.97418380337,16.2640954182481
2008,4.00352701999905,16292.8986660239,60205.3034232143,1588.7790031611,0
2009,8.0422714496695,100284.339492169,94962.0675047423,10779.4007565723,0
2010,8.16190272877762,15505.9381916393,76195.965152153,15096.6762257754,197.385101950332
2011,14.912373480787,4746.25806006766,19568.4951372657,6710.25013200135,67.9276818050649
2012,3.97495130468523,6679.07362558757,18367.3831606415,4990.35862068826,27.181135943841
2013,0,7665.91178243225,22316.5193967466,1743.15152277995,4.00277533684828
2014,12.0084785680641,9374.06469038417,21383.2591390117,496.766416697256,4.03512093171182
2015,0,17613.0802503341,27400.2512812725,1133.9510579458,0
2016,4.11340754932851,11620.1619220407,26662.4921581102,8457.6410874854,25.6364420578624
2017,0,8677.34353748098,23453.8753380429,3806.10847827097,0
2018,0,2246.65534414806,7040.30152098033,10.1462163483298,0
2019,0,3985.55349899875,313.498508580823,0,0
2020,0,85.0906572654632,4.07297339846527,0,0
