"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
1983,0,0,0,0,0,0,1,1,1,0,0,0
1993,0.0000111087301645669,0.0000121949628391945,0.0000133653107219164,0,0,0,0,0,0,0.000000579955257030592,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0.960634224679513,0.97950113056322,0.991304145692456,0,0,0.00801898790956291
1997,0,0,0,0.449779144395347,0.498126330602827,0.534806556474723,0.691604090144843,0.881353856782458,0.972761242498646,0,0.0226026301640171,0.0778567625415356
1998,0.00858297413005239,0.01099321096738,0.0151552857791146,0.193044180873604,0.234437514103111,0.280589923108471,0.98173036042134,0.991993515366156,0.99618674520314,0.00165636996894322,0.0223206349082654,0.00366588785992371
1999,0.0148018339062568,0.0183687422869696,0.0263338696203599,0.439552082460122,0.482962583172368,0.526132465059219,0.987994360444012,0.990595848260238,0.992520887701676,0.00308207412954472,0.02248503902886,0.00117216095704646
2000,0.027269010101779,0.0355530862297367,0.0478679626974683,0.539258458115254,0.564480644915255,0.586873536474268,0.918482892699857,0.93756920079532,0.952865452697445,0.00514032442090813,0.0124968635332301,0.00905115053947785
2001,0.0650515587914998,0.0776958131843717,0.0975719441827032,0.666325490345623,0.679271368958844,0.691125048379448,0.981706677203516,0.986604759629325,0.988901534402052,0.00864762913168685,0.00625898942553707,0.00200349099823354
2002,0.0374617494711821,0.0413213834831484,0.0460797076107751,0.758674780772676,0.788443098307647,0.81596597112514,0.99399143802219,0.997991302741625,0.999320539153105,0.00217759741992321,0.0148100647235255,0.00158247855783046
2003,0.0109740516351729,0.0127222593635464,0.0153798219954814,0.429665073876463,0.483870160513519,0.536073035145644,0.972384333507262,0.990190662526927,0.997182200909243,0.00116234842461112,0.0273166916395868,0.00683608481079538
2004,0.0338500781926966,0.0614864649505059,0.0904039068292788,0.836642427339806,0.909928964631281,0.963899374296933,1,1,1,0.0141743498703088,0.0337312880508826,0
2005,0.00880793260165942,0.0187001296173073,0.0346290330223759,0.733923484518728,0.797147697792562,0.854025336737694,0.996305785356775,0.997077164048924,0.997735688934964,0.00680569394956863,0.0305548296095104,0.000366349669619897
2006,0.0600585887086293,0.0950087451199318,0.155362186688416,0.752570577821259,0.783902465671504,0.810917418551644,0.962624875534834,0.979288074732565,0.986443973735662,0.0242030753488319,0.0152489587357662,0.00629973042040942
2007,0.0516270067329766,0.0556811059245723,0.0597043703188447,0.700469954074281,0.714195665400928,0.72692633068699,0.993802496622574,0.995985427119204,0.997367046824403,0.00207046734876069,0.00677541055722397,0.000932165067571036
2008,0.115532320896332,0.120738677196875,0.12620796194016,0.905977969296583,0.91280132243831,0.919080961168499,0.953207762891661,0.974313212237316,0.987802148321605,0.00266956397905984,0.00346800386825867,0.00897521227051454
2009,0.175507659916809,0.185855096439359,0.209093273561643,0.699324696544811,0.718471866874467,0.750680620343555,0.991872174871573,0.995336971658114,0.99736085679096,0.00876593511252084,0.0128604272008591,0.00139190639527808
2010,0.0334627941007607,0.0386992995265851,0.0510403093368258,0.577207827646405,0.592916999302902,0.620537577999114,0.960145447481566,0.966918185828614,0.972221864347529,0.00447266685457576,0.0108990323523907,0.00305908519442314
2011,0.0407919136730123,0.0477100430199616,0.0602132235402257,0.512826997655611,0.536597089876035,0.571141661683027,0.966764373355064,0.97668864869577,0.98462955874014,0.00502137539411819,0.015287061252332,0.00456699525121289
2012,0.0803228045834192,0.0877708308124073,0.0976343557703245,0.660922126952717,0.67930393796932,0.700642200528704,0.970852240747656,0.980547919090631,0.988360048721826,0.00445921658460563,0.0103443435735053,0.00449364407692036
2013,0.0934804123311349,0.102923098534994,0.116440226320157,0.862416009730097,0.87332146531623,0.882377678791855,0.938566632108071,0.961255735228692,0.979618396599312,0.00599805723529028,0.00499697944636477,0.0102559322632205
2014,0.155590970200819,0.168520318276379,0.187344370131507,0.911077018733292,0.930976495500777,0.954076271093045,0.910911780810698,0.954920046879576,0.980030133444131,0.00821110414366245,0.0113735292093382,0.0175117117500128
2015,0.127178788384595,0.154819017831932,0.212541181327805,0.894230698207793,0.906780124569422,0.921132331221419,0.981207595519942,0.99356964423341,0.998266258730657,0.0226938181792752,0.00695380525244833,0.0050883240254161
2016,0.0522789129931698,0.0587536964572168,0.0729816914404867,0.582847300844277,0.601992514647827,0.628931284046168,0.937051309607452,0.957843207109329,0.971256686686365,0.00504941405490113,0.0117371877926597,0.0091174336364857
2017,0.0701353113570427,0.082866102286657,0.111775000195606,0.611620025952863,0.634803321537033,0.667856740412678,0.972156348997495,0.984724151006456,0.992076256853774,0.0108449575244431,0.0143374066648866,0.00497579558602567
2018,0.0329639601123835,0.0367595371235484,0.0426160813095923,0.89086292406759,0.910706222321593,0.929475642153945,1,1,1,0.00245616339470007,0.0101320020467943,0
2019,0.676802888562453,0.775027956745267,0.846784538843752,1,1,1,0,0,0,0.0446991838969916,0,0
2020,0.966411269269276,0.976931992190467,0.98549320688479,1,1,1,0,0,0,0.00479184244364452,0,0
