"brood_year","OutSLower","OutSMean","OutSUpper"
1983,0.000000309175631197986,0.000000776958361200538,0.00000217195880916584
1993,0.00864846945276781,0.00949980781785639,0.0104052793816296
1995,0.0129085594234159,0.0135532946672615,0.0142566207516774
1996,0.0116840127293251,0.0122982251710139,0.0130360166541487
1997,0.0138323877122014,0.0146273885464308,0.015685394838976
1998,0.0178150285214618,0.0200472974393535,0.0227318778034678
1999,0.0630995892466229,0.0671404290666307,0.0712204668880672
2000,0.0508896838898653,0.0523719700871862,0.05398250522149
2001,0.0186230925005369,0.019110682267822,0.0196616669324099
2002,0.0154415604130804,0.0162998615571139,0.0172501878333289
2003,0.00960363860144142,0.0103016722701519,0.0111324504120358
2004,0.00127085963754582,0.0017918931462771,0.00276392046440874
2005,0.00158252068175613,0.00197833749131494,0.0025072005361907
2006,0.00134431001003659,0.00142935177458086,0.00154529033400756
2007,0.00860922370562841,0.00893330519818058,0.00942443285877525
2008,0.0150712127244661,0.0159844354514953,0.018349522517971
2009,0.054939144693181,0.0593089928923482,0.0716082909318721
2010,0.0509287499041647,0.053884539969871,0.0619207721169886
2011,0.02295612004535,0.024341991046376,0.0279441430327208
2012,0.0170776797850752,0.0179968103153478,0.0200400328322106
2013,0.0146384829572565,0.0159551202913722,0.0194311788380202
2014,0.0128762954932019,0.014734952498037,0.0198762779549857
2015,0.0141812853119254,0.0157656111395222,0.0199058931668758
2016,0.0348624726787485,0.0366314107745673,0.0412260978550364
2017,0.0271457305556664,0.0285775280969475,0.0320473512812195
2018,0.0108480717384979,0.0114685448279194,0.0128998443762004
2019,0.00129398874868106,0.00153179323523719,0.00211804531973258
2020,0.0000129910405133323,0.0000197872691836049,0.0000300790655391544
