"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
2007,0,0,0,0.744758228210513,0.777713834187222,0.81137702188793,1,1,1,0,0.0170736795359048,0
2008,0.0977082151379689,0.138938559895095,0.183267523213497,0.554051457869619,0.653769221723874,0.761961518557431,1,1,1,0.0222754695162295,0.0527335387563826,0
2009,0.0271402838900048,0.0386658464140262,0.0515118829512057,0.623047700746858,0.721184640583931,0.831740399554773,1,1,1,0.00602931555657192,0.0531678028908975,0
2010,0.0033997572498734,0.0093195592086214,0.0170095963931315,0.349182643403943,0.4106187828295,0.486583328959463,1,1,1,0.00347901353249783,0.0350576658449659,0
2011,0.00870883355573997,0.0184099112459357,0.0312551580984107,0.454213120905916,0.541377942931676,0.631137264664473,1,1,1,0.00581206520165913,0.0453591452466134,0
2012,0.0092393008896637,0.0435216783980091,0.0768097048210919,0.84624215149756,0.901747491473683,0.958607340191577,1,1,1,0.0170334664898227,0.0290675235865411,0
2013,0.00343392400011675,0.0668488524339677,0.130110695739509,0.744340383014829,0.867749113923428,0.968151785770664,1,1,1,0.0318517628817343,0.0570817463928794,0
2014,0.00159855553374682,0.241730504629694,0.894575954373512,0.0106333252170473,0.702982153471062,0.994861567129892,1,1,1,0.214447541635101,0.33338362532878,0
2015,0.152581909589601,0.201487464982187,0.286811855629179,0.730688632075476,0.822768070423142,0.925134842506185,1,1,1,0.034737486454192,0.0505518073869009,0
2016,0.0611459134782458,0.085320307483356,0.116646129961139,0.45126484037572,0.518145785096809,0.593877650398016,1,1,1,0.0139266599929014,0.0360672053459579,0
