"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
1983,0,0,0,0,0,0,1,1,1,0,0,0
1993,0.0000452727537340828,0.0000464712434032177,0.0000477570551721456,0,0,0,0,0,0,0.000000637574741601584,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0.928581177748309,0.979797514440864,0.995548178197272,0,0,0.0174444429027728
1997,0,0,0,0.427007219386414,0.484406611998804,0.538952943486019,0.82409693013401,0.928182971892713,0.978364216545711,0,0.0293670299235569,0.0405365613504344
1998,0.0248623200599681,0.0273746598552016,0.0324701202266674,0.330272651585589,0.35559710959106,0.379984178090743,0.84449262673741,0.950283763862726,0.991178063191634,0.00197989197732617,0.0126176188569881,0.0397155974378442
1999,0.003446730256768,0.00408410185266422,0.00494571940535953,0.340059453380192,0.41551224604038,0.530196173173933,0.904292850423136,0.946804468830066,0.970957352122976,0.000368709097196477,0.0495926533266431,0.0171068541861845
2000,0.0224511950350216,0.032378927337471,0.0504744619140251,0.495003631945553,0.536407166863235,0.575449796682648,0.95086244587665,0.972853557581349,0.985759755407865,0.00743424793947186,0.0206719592065769,0.00884905848248763
2001,0.0492096354870218,0.0644644810253219,0.0840536134416791,0.691026954915584,0.739625047993358,0.785074065895638,1,1,1,0.00903901074681044,0.0232207133172014,0
2002,0.046178856586379,0.0536186919242208,0.0631836054443123,0.628789382810267,0.679055163871213,0.72835737152375,0.991464583700667,0.997130824759764,0.99907458717882,0.0043764195959901,0.0250462070620909,0.00217855754038081
2003,0.00941519481836048,0.0113212866736183,0.0148667541954441,0.380485902737115,0.450021405735439,0.522472741491031,0.958651975168344,0.985564002660296,0.996003941727596,0.0014818474829774,0.0351682318542087,0.010269892914971
2004,0.00931689129174826,0.0262085082948113,0.0707732245540973,0.727733112386266,0.839893190809278,0.911317277111721,1,1,1,0.016336570032872,0.0459327606429606,0
2005,0.00706460031459303,0.0186094285976938,0.0392088686424648,0.698779034394882,0.771730392318114,0.842218184323917,0.996049681313596,0.996882599655965,0.997624473056683,0.00846947946308465,0.0364089478923838,0.000413128752699833
2006,0.0676961791146226,0.123804168763402,0.217495237269048,0.659818732271372,0.709819845835007,0.751771863119721,0.986949509991364,0.991905384456415,0.994290435836434,0.0409609640932917,0.024160438456734,0.00197360161148647
2007,0.0580212424696229,0.0625375022568876,0.0675865613324049,0.751309331317004,0.768376912874713,0.784889893466343,0.991375531668117,0.995948352875834,0.997556700954711,0.00248908446232493,0.00868621565152043,0.0017010490528706
2008,0.145510670340658,0.158417090708568,0.170356341384121,0.905449622800867,0.920070593932999,0.932726486077985,1,1,1,0.00652030133922863,0.00699362554871878,0
2009,0.122354798195912,0.131695489662047,0.148374962431244,0.703812033518924,0.722824104718707,0.746037419452571,0.995311815845878,0.997619244260181,0.998952463814219,0.00709531698684375,0.0107509190841458,0.000951189475288013
2010,0.0386010963346261,0.0435866949484714,0.0533340250979924,0.595703137749964,0.613864836456633,0.637266165214247,0.973918078658363,0.980294483454379,0.985472600019515,0.0038073416683299,0.0107395367894221,0.00294133334321107
2011,0.0468461439412614,0.0560202196891473,0.0720343899276824,0.558410587633133,0.582335715049237,0.610942331391646,0.977489714249403,0.991037112251819,0.996002836091544,0.00658630003656434,0.0137134137853898,0.00480156238705375
2012,0.088811629154896,0.0986258635616463,0.112025734739166,0.689181015244565,0.711622602309189,0.736229938707645,0.972594674004058,0.988248711052781,0.995767937710229,0.00572747214863812,0.0123575024825163,0.00631462345977962
2013,0.0832464575688713,0.0915937539991815,0.100581754954963,0.87950259406394,0.89975340696118,0.913704936407067,0.962036719281618,0.988267495287624,0.997209982431392,0.00431897513303104,0.00894397756424214,0.00922081214518951
2014,0.147919490349223,0.157810843412758,0.168940598755285,0.896768776657815,0.924324289642729,0.952499548513324,0.993760423594291,0.995442141531777,0.996970804527164,0.00549928925159088,0.0146515538253882,0.000821022544460877
2015,0.11926804273461,0.143306438962476,0.19326579280661,0.902510031479446,0.91536014487461,0.930080076038897,1,1,1,0.0200956891901237,0.00697842621156176,0
2016,0.0741181274332715,0.0844911937676145,0.101733486784973,0.651311884215153,0.674314510530609,0.703088705878304,0.982612821503967,0.990323818346107,0.994432029146606,0.00734624240775075,0.0133429281449452,0.0030726926140271
2017,0.0778672397435519,0.0962954890520122,0.136187934616251,0.63112801581702,0.656682541315565,0.690627256357355,1,1,1,0.0158476138886933,0.0143274951619984,0
2018,0.0355656535674096,0.0462413948577913,0.0645634444025011,0.972872506099254,0.983774707792534,0.991530760784232,0,0,0,0.00750441486367689,0.00496940431143245,0
2019,0.932829038837083,0.969185389187524,0.989517665171178,0,0,0,0,0,0,0.0144458214898603,0,0
