"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
2008,0,0,0,0.665720805422925,0.78804550887395,0.923546714546449,1,1,1,0,0.0657895704103413,0
2009,0.14454276682024,0.174655230901981,0.209372698232305,0.603294937597776,0.692973624642708,0.787090921111512,1,1,1,0.0170335269621548,0.0489136382932141,0
2010,0.00740704104272167,0.022190310049621,0.0449710610562543,0.360442492865816,0.60482836002626,1,1,1,1,0.00935133962828995,0.166250923973248,0
2011,0.0225472840836424,0.059844890024699,0.138499002312653,0.223872986178714,0.66847322389769,0.875409532748872,1,1,1,0.0313595217329561,0.162813671377829,0
2012,0,0.2367795531599,0.499890747793076,0.479663236259825,0.77501197342356,1,1,1,1,0.138647197133014,0.156295572018436,0
2013,0,0.0566746589609778,0.122620414786648,0.999998554183823,0.999999371333948,0.999999721457599,1,1,1,0.0318535968504925,2.94514392144808e-07,0
2014,1.84029801990275e-25,0.162822518484452,0.434515746691085,0.999981878010697,0.997401908135203,0.999996733195875,1,1,1,0.125041853055645,0.0472647771645023,0
2015,1.64196957131187e-10,0.032380804486847,0.102163767738,0.414799990169177,0.517008992467151,0.674598877845587,1,1,1,0.0299366469261651,0.0647395699638366,0
2016,0,0,0,0.789231006759134,0.883582626348849,0.970065028082804,1,1,1,0,0.0525984492695387,0
